long (),lat (),mscschema (None),date_tm (datetime),TC ID (unitless),Station Name (unitless),MSLP (hPa),Air Temp (C),Dewpoint Temp (C),Relative Humidity (%),Avg Wnd Dir 10m min50-60 (Deg) (),Avg Wnd Spd 10m min58-60 (km/h),Weigh Gauge pst1hr (pcpn) (mm),TBRG pst1hr (rnfl) (mm),Snow Depth (cm),PCPN Amt pst24hr (mm),Pressure Tendency Characteristic pst3hr (code),Pressure Tendency Amount pst3hr (hPa),Logger Panel Temp (C),Weigh Gauge Raw (kg/m^2) (kg/m),Max Battery Voltage pst1hr (V),Min Battery Voltage pst1hr (V),Station Elevation (m),wmo_synop_id (unitless),MSC ID (unitless),Climate ID (unitless),wnd_dir_10m_mt50-60_max_spd (),avg_wnd_dir_10m_mt58-60 (),wnd_dir_10m_pst1hr_max_spd (),avg_wnd_dir_10m_pst1hr (),min_rel_hum_pst1hr (%),max_rel_hum_pst1hr (%),max_air_temp_pst6hrs (C),min_air_temp_pst6hrs (C),min_air_temp_pst24hrs (C),min_air_temp_pst1hr (C),avg_air_temp_pst1hr (C),air_temp_12hrs_ago (C),max_air_temp_pst24hrs (C),max_air_temp_pst1hr (C),product_swob-xml-2.0 (None),None (None),MSC-DMS-PG-External-XML (None),stn_pres (hPa),max_wnd_spd_10m_pst1hr_tm (hhmm),tot_globl_solr_radn_pst1hr (kJ/m),max_wnd_spd_10m_pst1hr (km/h),avg_wnd_spd_10m_pst1hr (km/h),max_wnd_spd_10m_mt50-60 (km/h),avg_wnd_spd_10m_mt50-60 (km/h),avg_wnd_spd_pcpn_gag_mt50-60 (km/h),pcpn_amt_pst6hrs (mm),pcpn_snc_last_syno_hr (mm),pcpn_amt_pst3hrs (mm)
-126.0,53.766667,None,2015-11-06T00:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.4,4.2,-3.8,56,205,3.2,0,0,-0,0.2,8,0.1,11.2,210.7,12.56,12.28,861.0,71679,1085836,1085836,164,202,216,213,49,57,5.8,3,1.1,4.1,4.5,1.74,6.1,4.9,None,None,None,917.5,2313,MSNG,11.4,4,6.5,3.2,2.2,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T01:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.7,1.4,-3.9,68,24,5.2,0,0,-0,0.2,6,0.4,8,210.7,12.6,12.29,861.0,71679,1085836,1085836,24,26,24,6,54,68,5.8,1.4,1.1,1.4,3,1.51,5.8,4.2,None,None,None,917.5,0059,MSNG,6.2,3.7,6.2,3.9,1.2,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T02:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.9,-0.2,-4.2,75,21,4.5,0,0,-0,0.2,6,0.2,7,210.7,12.65,12.34,861.0,71679,1085836,1085836,10,13,344,15,68,79,5.8,-0.2,-0.2,-0.2,0.6,1.54,5.8,1.6,None,None,None,917.5,0133,MSNG,6.4,4.8,4.9,3.9,2.1,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T03:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1020.0,-1.8,-4.5,82,17,9.1,0,0,-0,0.2,8,0.1,7.2,210.7,12.67,12.39,861.0,71679,1085836,1085836,22,23,22,18,74,85,5.8,-1.8,-1.8,-1.8,-1.2,1.29,5.8,-0.2,None,None,None,917.4,0258,MSNG,9.6,6.5,9.6,7.7,3.3,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T04:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.9,-2,-4.0,86,23,6.7,0,0,-0,0.2,8,0.2,6.5,210.7,12.7,12.4,861.0,71679,1085836,1085836,38,23,22,18,82,89,5.3,-2.5,-2.5,-2.5,-2.1,1.13,5.8,-1.6,None,None,None,917.3,0300,MSNG,8.6,6.2,7.8,6.5,3.8,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T05:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.8,-1.6,-3.4,88,33,3.3,0,0,0,0.2,6,0.2,6.6,210.7,12.7,12.44,861.0,71679,1085836,1085836,28,33,36,23,86,90,4.9,-2.5,-2.5,-2.3,-1.9,1.92,5.8,-1.3,None,None,None,917.3,0441,MSNG,10.4,5.4,7.5,4.1,1.9,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T06:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1019.1,-1,-2.7,88,34,7.1,0,0,-0,0.2,8,0.5,7.5,210.7,12.69,12.42,861.0,71679,1085836,1085836,22,23,180,42,80,90,4.2,-2.5,-2.5,-1.6,-1.1,3.14,5.8,0.9,None,None,None,916.9,0524,MSNG,14,6.1,10.4,6.9,4.3,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T07:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1018.4,-1.1,-3.1,86,17,6.6,0,0,-0,0.2,8,1.0,7.9,210.7,12.68,12.42,861.0,71679,1085836,1085836,12,26,22,19,85,88,1.6,-2.5,-2.5,-1.2,-1.1,4.26,5.8,-0.9,None,None,None,916.3,0643,MSNG,12.8,7.8,8.8,6.6,2.5,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T08:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1018.0,-0.6,-3.0,84,25,8.8,0,0,-0,0.2,6,1.2,8.3,210.7,12.68,12.4,861.0,71679,1085836,1085836,19,24,27,19,84,87,0.9,-2.5,-2.5,-1.1,-0.8,4.8,5.8,-0.5,None,None,None,916.1,0711,MSNG,12.1,9.1,11.5,9.2,4.1,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T09:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1017.7,-0.3,-2.7,84,21,6.1,0,0,-0,0.2,6,1.0,8.8,210.7,12.82,12.43,861.0,71679,1085836,1085836,0,35,30,15,84,86,0.9,-2.5,-2.5,-0.6,-0.4,5.55,5.8,-0.2,None,None,None,915.9,0836,MSNG,10.6,6.8,8.8,6.1,2.8,0.0,0.0,0.0
-126.0,53.766667,None,2015-11-06T10:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1016.6,0.6,-0.9,90,140,8.7,0.6,0,0,0.6,8,1.3,9.3,211.3,12.66,12.43,861.0,71679,1085836,1085836,164,131,164,94,84,92,1.2,-2.3,-2.5,-0.4,0.2,5.37,5.8,1.2,None,None,None,915.0,0950,MSNG,17.6,8.2,17.6,10.3,7.5,0.6,0.6,0.6
-126.0,53.766667,None,2015-11-06T11:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1015.7,-0.1,-1.1,93,34,6.6,0,0,0,0.6,8,2.1,9.4,211.3,12.66,12.39,861.0,71679,1085836,1085836,26,36,67,54,88,93,1.2,-1.6,-2.5,-0.1,0.1,4.61,5.8,0.6,None,None,None,914.0,1028,MSNG,13.1,6.8,9.7,7.3,4.3,0.6,0.6,0.6
-126.0,53.766667,None,2015-11-06T12:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1014.3,1.8,-1.1,81,117,15.5,0,0,0,0.6,8,3.0,9.7,211.3,12.65,12.43,861.0,71679,1085836,1085836,130,120,130,81,81,93,1.9,-1.2,-2.5,-0.1,0.9,4.24,5.8,1.9,None,None,None,912.9,1158,MSNG,20.2,8.7,20.2,12.3,7.7,0.6,0.6,0.6
-126.0,53.766667,None,2015-11-06T13:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1013.4,2.5,-1.3,76,108,13.9,0,0,0,0.6,7,3.1,10,211.3,12.65,12.39,861.0,71679,1085836,1085836,128,115,128,104,76,81,2.5,-1.1,-2.5,1.5,1.8,1.38,5.8,2.5,None,None,None,911.9,1259,MSNG,23.3,10,23.3,10.4,6.7,0.6,0.0,0.0
-126.0,53.766667,None,2015-11-06T14:00:00.000Z,VSL,OOTSA LAKE SKINS LAKE CLIMATE,1012.6,3.2,-1.6,71,125,14.5,0,0.8,0,0.6,6,2.9,10.5,211.3,12.64,12.37,861.0,71679,1085836,1085836,164,116,164,120,71,76,3.5,-0.6,-2.5,2.5,2.9,-0.2,5.8,3.5,None,None,None,911.1,1353,MSNG,24.2,12.8,24.2,13.5,9.9,0.6,0.0,0.0
